Country,GDPPerCapita
Qatar,132900
Macau,101300
Luxembourg,99500
Liechtenstein,89400
Bermuda,85700
Singapore,85400
Isle of Man,83100
Brunei,79500
Monaco,78700
Kuwait,70500
Norway,68600
United Arab Emirates,67200
Sint Maarten,66800
Ireland,65800
San Marino,63800
Switzerland,58600
Jersey,57000
Hong Kong,56900
United States,56100
Falkland Islands (Islas Malvinas),55400
Saudi Arabia,53800
Guernsey,52300
Bahrain,49600
Netherlands,49600
Sweden,48200
Australia,47600
Austria,47000
Germany,47000
Taiwan,46800
Denmark,45700
Canada,45600
Iceland,45600
Belgium,44100
Cayman Islands,43800
Oman,43700
Equatorial Guinea,43500
Gibraltar,43000
British Virgin Islands,42300
France,41500
United Kingdom,41500
Finland,41100
New Caledonia,38800
Japan,38100
Puerto Rico,37900
Greenland,37900
European Union,37800
Andorra,37200
Faroe Islands,36600
"Korea, South",36600
Virgin Islands,36100
New Zealand,36100
Malta,36100
Italy,35800
Spain,34900
Saint Pierre and Miquelon,34900
Israel,34100
Cyprus,33200
Trinidad and Tobago,32600
Czechia,32100
Slovenia,30900
Guam,30500
Slovakia,29800
Turks and Caicos Islands,29100
Estonia,28700
Lithuania,28400
Portugal,27900
Seychelles,26700
Poland,26500
Greece,26400
Hungary,26300
Malaysia,26200
French Polynesia,26100
Russia,26000
Kazakhstan,25900
Aruba,25300
Latvia,24700
"Bahamas, The",24500
Saint Kitts and Nevis,24300
Antigua and Barbuda,23600
Chile,23500
Panama,21800
Croatia,21600
Uruguay,21300
Romania,20900
Argentina,20500
Turkey,20400
Mauritius,19600
Saint Martin,19300
Bulgaria,19200
Gabon,18700
Mexico,18400
Lebanon,18300
Azerbaijan,18000
Belarus,17700
Iran,17300
Venezuela,16800
Barbados,16700
Turkmenistan,16500
Botswana,16400
Suriname,16300
Thailand,16100
Montenegro,16000
Brazil,15600
Costa Rica,15500
Iraq,15200
Palau,15100
Curacao,15000
Dominican Republic,15000
Maldives,14900
Nauru,14800
Libya,14700
Algeria,14500
China,14300
Macedonia,14000
Colombia,13800
Serbia,13700
Grenada,13500
Northern Mariana Islands,13300
South Africa,13200
American Samoa,13000
Peru,12500
Cook Islands,12300
Mongolia,12200
Anguilla,12200
Egypt,11800
Saint Lucia,11700
Tunisia,11500
Ecuador,11300
Albania,11300
Namibia,11200
Indonesia,11100
Dominica,11100
Saint Vincent and the Grenadines,10900
Jordan,10900
Sri Lanka,10600
Bosnia and Herzegovina,10600
Cuba,10200
Swaziland,9700
Georgia,9600
Fiji,9100
Paraguay,9000
Jamaica,8800
El Salvador,8600
Montserrat,8500
Armenia,8500
Belize,8300
Morocco,8200
Ukraine,8000
Guatemala,7800
"Saint Helena, Ascension, and Tristan da Cunha",7800
Bhutan,7700
Guyana,7500
Philippines,7300
Bolivia,7000
Angola,7000
"Congo, Republic of the",6700
Cabo Verde,6500
India,6200
Nigeria,6100
Uzbekistan,6100
Vietnam,6000
Niue,5800
Burma,5500
Laos,5400
Samoa,5200
Syria,5100
Honduras,5100
Tonga,5100
Nicaragua,5000
Moldova,5000
Pakistan,4900
Timor-Leste,4700
Sudan,4400
West Bank,4300
Mauritania,4300
Ghana,4300
Zambia,3900
Wallis and Futuna,3800
Bangladesh,3600
Papua New Guinea,3500
Cambodia,3500
Tuvalu,3400
Kyrgyzstan,3400
Cote d'Ivoire,3400
Sao Tome and Principe,3200
Marshall Islands,3200
Kenya,3200
Djibouti,3200
Cameroon,3100
Lesotho,3000
"Micronesia, Federated States of",3000
Tanzania,2900
Tajikistan,2800
Yemen,2700
Vanuatu,2600
Chad,2600
Senegal,2500
Nepal,2500
Western Sahara,2500
Mali,2200
Benin,2100
Uganda,2000
South Sudan,2000
Solomon Islands,2000
Zimbabwe,2000
Afghanistan,1900
Rwanda,1800
Ethiopia,1800
Kiribati,1800
"Korea, North",1800
Haiti,1800
"Gambia, The",1700
Burkina Faso,1700
Sierra Leone,1600
Togo,1500
Guinea-Bissau,1500
Madagascar,1500
Comoros,1500
Eritrea,1300
Mozambique,1200
Guinea,1200
Niger,1100
Malawi,1100
Tokelau,1000
Liberia,900
"Congo, Democratic Republic of the",800
Burundi,800
Central African Republic,600
Somalia,400
